BMI	WHR	FG	LDL	TG	SBP	DBP
4.362947882	3.08053668	NA	9.90566315532102	6.15199870811874	6.60722731773796	5.83741633491606
4.385018942	3.09407664	NA	9.92960272929542	6.17044332061254	6.63743301344953	5.86696640940276
4.406817342	3.10753398	NA	9.95319093579442	6.18868516993054	6.66753397026607	5.89634352252292
4.428582222	3.12086058	NA	9.97670975941042	6.20682118903214	6.69761303952534	5.92569483225689
4.450321802	3.13410802	NA	10.0000825581968	6.22492581446894	6.72768405203663	5.95501866223491
4.471910262	3.14725618	NA	10.0234450149776	6.24296233074654	6.75735114612249	5.98428226063957
4.493497162	3.16030978	NA	10.046537511072	6.26071054150894	6.78686123258978	6.01344322858465
4.515078722	3.17331714	NA	10.069623043212	6.27832222134094	6.81636664827484	6.04240766880554
4.536406322	3.18631978	NA	10.0925288654752	6.29592820126714	6.84586508355315	6.07116722748636
4.557724222	3.19916652	NA	10.1153717535592	6.31336882521114	6.87534032537596	6.09988043276764
4.579021102	3.2120108	NA	10.1381037897156	6.33079067363334	6.90475914419626	6.1284410080388
4.600110942	3.2247302	NA	10.1607147807986	6.34816094916134	6.93401933795811	6.15692849209293
4.621144642	3.23729558	NA	10.1830626069554	6.36543573020174	6.9631291824256	6.18539357969744
4.642159202	3.24969422	NA	10.2053388245894	6.38270834287874	6.99218988998292	6.21381644595764
4.663147342	3.2620819	NA	10.2275323782244	6.39993310807774	7.02116984735175	6.24219374187175
4.684029742	3.2743991	NA	10.249527889552	6.41709858547174	7.05008494081346	6.27050255518403
4.704830942	3.28666508	NA	10.2714375121212	6.43386716790634	7.07897921486069	6.2985320258629
4.725593502	3.29892502	NA	10.2932171137944	6.45051059979974	7.10771499268247	6.32655037307146
4.746201642	3.31111792	NA	10.314851350668	6.46711276616314	7.13642012113108	6.35456176063562
4.766801562	3.32312264	NA	10.3361267481512	6.48367760678554	7.16505858201043	6.38252248146532
4.787389962	3.3351008	NA	10.3571523998112	6.50010195854914	7.19366758346514	6.41027409338769
4.807911102	3.34706774	NA	10.3776326493696	6.51650051271554	7.22225471024589	6.43785887568177
4.828378542	3.35878868	NA	10.3979485924096	6.53287097330874	7.25079002156107	6.464943808242
4.848772542	3.37041264	NA	10.4182149743496	6.54918446626914	7.27887946759383	6.49201409639474
4.869154902	3.38185776	NA	10.4383843062624	6.56548971992994	7.3066837066218	6.51905758505753
4.889375622	3.39328918	NA	10.4584383160368	6.58171256696234	7.33428612756775	6.54607353789848
4.909550622	3.40455742	NA	10.4784727390896	6.59768928661514	7.36162766166764	6.57264399874372
4.929689622	3.41573864	NA	10.4982634109472	6.61357035318074	7.38855879704167	6.59920198306211
4.949744502	3.42691772	NA	10.5180159068808	6.62936708780954	7.41547901089005	6.62574161888731
4.969779382	3.43807594	NA	10.5368548976488	6.64516309584154	7.44234121357626	6.65222258737717
4.989740242	3.44906692	NA	10.5555752058778	6.66064004045214	7.4691986260169	6.6786863941016
5.009588322	3.46005664	NA	10.5739677676456	6.67596990485914	7.49599656796873	6.70514511565084
5.029407942	3.47095924	NA	10.5923529750814	6.69129153761914	7.52270602975143	6.73159446298518
5.049224742	3.48184004	NA	10.6105946292414	6.70651275979894	7.54926728321018	6.75802536090774
5.069036022	3.49269512	NA	10.6287126300194	6.72168248433574	7.57559444708902	6.78441189763831
5.088699182	3.50353272	NA	10.6467067084294	6.73665009285574	7.60189000003194	6.81051282730797
5.108285782	3.51436424	NA	10.6645548614984	6.75160740524134	7.62815616967881	6.83657303259229
5.127851242	3.52517828	NA	10.6823014094924	6.76637278559214	7.65437206165777	6.86248387837609
5.147392522	3.53589444	NA	10.7000257355378	6.78100111450454	7.68057734248152	6.88838323065478
5.166797322	3.54652116	NA	10.7177278360664	6.79560245291254	7.70659188954698	6.91427678572162
5.186080242	3.55702308	NA	10.7351285098786	6.81005279083414	7.7325087226301	6.9400588593955
5.205354842	3.56740488	NA	10.7525240764398	6.82450162163134	7.75829426316352	6.96549418429902
5.224576342	3.57771168	NA	10.7698687906462	6.83882848659774	7.78398731330757	6.99070206488406
5.243767822	3.58795128	NA	10.7868092020102	6.85312607977534	7.80956465969618	7.01574334571091
5.262905322	3.59818488	NA	10.8036710965502	6.86729198761534	7.83485767631566	7.04077626711526
5.282029642	3.60826488	NA	10.8203774995082	6.88141192925774	7.85984968748964	7.06578418126891
5.301141742	3.6182676	NA	10.8369707807198	6.89550446034674	7.88476830132638	7.09074003451657
5.320215682	3.62822926	NA	10.8535318504428	6.90955391061314	7.90964309788507	7.11568765729326
5.339271922	3.63813374	NA	10.869992616834	6.92335784971274	7.93448137848378	7.14046848408119
5.358299282	3.64803038	NA	10.8863960478212	6.93712362787994	7.95921215730497	7.16517689057376
5.377179782	3.6578804	NA	10.9025836905462	6.95084586996314	7.98377099441927	7.18974185812258
5.396024102	3.6676352	NA	10.9187460535902	6.96454469664314	8.00830180566898	7.21430409526311
5.414861782	3.677354	NA	10.9348784576142	6.97791199496154	8.03280679761219	7.23885440906014
5.433645082	3.68706608	NA	10.9509675824814	6.99122595764154	8.05722718725988	7.26340085804926
5.452326682	3.69677662	NA	10.9670543881674	7.00444266959754	8.08164292486469	7.28793675357118
5.470956862	3.70648634	NA	10.983068877921	7.01765406187106	8.10597754803494	7.31245613395413
5.489500862	3.71617858	NA	10.9990713763642	7.03077773365706	8.13029658241093	7.33696800150935
5.508033082	3.72584818	NA	11.0149928053078	7.04383457407446	8.15456543750057	7.3614697435669
5.526525082	3.7354321	NA	11.0308236734014	7.05675117163386	8.17883007506594	7.38593937108921
5.544960642	3.7449703	NA	11.0466332877168	7.06962270918546	8.20294446640337	7.41035793007158
5.563357862	3.75447508	NA	11.062432397373	7.08214486935366	8.22684401112781	7.43476054391808
5.581752282	3.76395602	NA	11.078223331488	7.09463967161766	8.25062428576484	7.45904503443388
5.600060982	3.77332052	NA	11.0938369231096	7.10708812282566	8.27434841614716	7.4832543705083
5.618183802	3.78237748	NA	11.1094209922522	7.11947161308766	8.29800977440196	7.50739159091198
5.636304762	3.79136776	NA	11.1249848552294	7.13184599295166	8.32166415693485	7.53119702279056
5.654403522	3.80027344	NA	11.1403038584618	7.14402639184846	8.34531192447827	7.55475820740685
5.672478222	3.80900248	NA	11.1555621936014	7.15593696413646	8.3689284160516	7.57828309310449
5.690540422	3.81766428	NA	11.1704567409122	7.16758590515346	8.39253399664015	7.60164735940432
5.708565982	3.8262229	NA	11.185161024989	7.17921363649626	8.4161384165604	7.62470730011524
5.726572382	3.8347255	NA	11.1996988396454	7.19083076561386	8.43963986259785	7.64762299453376
5.744578622	3.84315674	NA	11.2138088928156	7.20243156196786	8.46305513340586	7.67047292367671
5.762583362	3.85153868	NA	11.2278811962104	7.21402880103666	8.48643582309145	7.69331274227289
5.780585162	3.85989458	NA	11.241857300956	7.22557659222466	8.50954378500611	7.71609073889363
5.798438282	3.8682334	NA	11.2557351094858	7.23711970262866	8.53264485201229	7.73871939470247
5.816284682	3.87642742	NA	11.2695552237922	7.24860114232566	8.55561364148185	7.76118303367976
5.834124602	3.88458412	NA	11.2832075400474	7.26004636758006	8.57849631428243	7.78358175210738
